"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_PS_2440";"4";"20.7";"6.7";"105.4"
"ITA17_PS_2440";"5";"20.7";"13.4";"105.4"
"ITA17_PS_2440";"6";"20.7";"12";"105.4"
"ITA17_PS_2440";"7";"20.7";"16.5";"105.4"
"ITA17_PS_2440";"8";"20.7";"9.4";"105.4"
"ITA17_PS_2440";"9";"20.7";"13.3";"105.4"
"ITA17_PS_2440";"10";"20.7";"14.2";"105.4"
"ITA17_PS_2440";"11";"20.7";"2.6";"105.4"
"ITA17_PS_2440";"12";"20.7";"2.7";"105.4"
"ITA17_PS_2440";"13";"15.8";"1.9";"113.8"
"ITA17_PS_2440";"14";"15.8";"3.8";"113.8"
"ITA17_PS_2440";"15";"15.8";"6.3";"113.8"
"ITA17_PS_2440";"16";"15.8";"7";"113.8"
"ITA17_PS_2440";"17";"15.8";"10.6";"113.8"
"ITA17_PS_2440";"18";"15.8";"13.9";"113.8"
"ITA17_PS_2440";"19";"15.8";"18.2";"113.8"
"ITA17_PS_2440";"20";"15.8";"14.8";"113.8"
"ITA17_PS_2440";"21";"15.8";"16.3";"113.8"
"ITA17_PS_2440";"22";"15.8";"11";"113.8"
"ITA17_PS_2440";"23";"15.8";"4.9";"113.8"
"ITA17_PS_2440";"24";"15.8";"2.5";"113.8"
"ITA17_PS_2440";"25";"9.6";"8.6";"119.6"
"ITA17_PS_2440";"26";"9.6";"8.3";"119.6"
"ITA17_PS_2440";"27";"9.6";"9.6";"119.6"
"ITA17_PS_2440";"28";"9.6";"8.6";"119.6"
"ITA17_PS_2440";"29";"9.6";"3";"119.6"
"ITA17_PS_2440";"30";"9.6";"18.4";"119.6"
"ITA17_PS_2440";"31";"9.6";"22.9";"119.6"
"ITA17_PS_2440";"32";"9.6";"19.3";"119.6"
"ITA17_PS_2440";"33";"9.6";"17";"119.6"
"ITA17_PS_2440";"34";"9.6";"13.1";"119.6"
"ITA17_PS_2440";"35";"9.6";"14.7";"119.6"
"ITA17_PS_2440";"36";"9.6";"6.9";"119.6"
"ITA17_PS_2440";"37";"15.2";"6.6";"113.8"
"ITA17_PS_2440";"38";"15.2";"5.7";"113.8"
"ITA17_PS_2440";"39";"15.2";"5.3";"113.8"
"ITA17_PS_2440";"40";"15.2";"8.1";"113.8"
"ITA17_PS_2440";"41";"15.2";"11.5";"113.8"
"ITA17_PS_2440";"42";"15.2";"14.2";"113.8"
"ITA17_PS_2440";"43";"15.2";"7.5";"113.8"
"ITA17_PS_2440";"44";"15.2";"8";"113.8"
"ITA17_PS_2440";"45";"15.2";"6.8";"113.8"
"ITA17_PS_2440";"46";"15.2";"8.9";"113.8"
"ITA17_PS_2440";"47";"15.2";"7.1";"113.8"
"ITA17_PS_2440";"48";"15.2";"3.5";"113.8"
"ITA17_PS_2440";"49";"14.9";"6";"101.8"
"ITA17_PS_2440";"50";"14.9";"3";"101.8"
"ITA17_PS_2440";"51";"14.9";"0.9";"101.8"
"ITA17_PS_2440";"52";"14.9";"5.4";"101.8"
"ITA17_PS_2440";"53";"14.9";"16";"101.8"
"ITA17_PS_2440";"54";"14.9";"16.1";"101.8"
"ITA17_PS_2440";"55";"14.9";"14.6";"101.8"
"ITA17_PS_2440";"56";"14.9";"10";"101.8"
"ITA17_PS_2440";"57";"14.9";"12.3";"101.8"
"ITA17_PS_2440";"58";"14.9";"13.4";"101.8"
"ITA17_PS_2440";"59";"14.9";"5.4";"101.8"
"ITA17_PS_2440";"60";"14.9";"5.1";"101.8"
"ITA17_PS_2440";"61";"13.9";"4";"101.4"
"ITA17_PS_2440";"62";"13.9";"2.3";"101.4"
