year;month;param1;param2;param3;param4;param5;sel_type;fleet_segment
2008;Jul;80;7;400;-1;-1;2;DTS_VL1824
2008;Aug;80;7;400;-1;-1;2;DTS_VL1824
2008;Set;80;7;400;-1;-1;2;DTS_VL1824
2008;Oct;80;7;400;-1;-1;2;DTS_VL1824
2008;Nov;80;7;400;-1;-1;2;DTS_VL1824
2008;Dec;80;7;400;-1;-1;2;DTS_VL1824
2009;Jan;70;7;400;-1;-1;2;DTS_VL1824
2009;Feb;70;7;400;-1;-1;2;DTS_VL1824
2009;Mar;70;7;400;-1;-1;2;DTS_VL1824
2009;Apr;70;7;400;-1;-1;2;DTS_VL1824
2009;May;70;7;400;-1;-1;2;DTS_VL1824
2009;Jun;70;7;400;-1;-1;2;DTS_VL1824
2009;Jul;70;7;400;-1;-1;2;DTS_VL1824
2009;Aug;70;7;400;-1;-1;2;DTS_VL1824
2009;Set;70;7;400;-1;-1;2;DTS_VL1824
2009;Oct;70;7;400;-1;-1;2;DTS_VL1824
2009;Nov;70;7;400;-1;-1;2;DTS_VL1824
2009;Dec;70;7;400;-1;-1;2;DTS_VL1824
2010;Jan;70;7;400;-1;-1;2;DTS_VL1824
2010;Feb;70;7;400;-1;-1;2;DTS_VL1824
2010;Mar;70;7;400;-1;-1;2;DTS_VL1824
2010;Apr;70;7;400;-1;-1;2;DTS_VL1824
2010;May;70;7;400;-1;-1;2;DTS_VL1824
2010;Jun;70;7;400;-1;-1;2;DTS_VL1824
2010;Jul;70;7;400;-1;-1;2;DTS_VL1824
2010;Aug;70;7;400;-1;-1;2;DTS_VL1824
2010;Set;70;7;400;-1;-1;2;DTS_VL1824
2010;Oct;70;7;400;-1;-1;2;DTS_VL1824
2010;Nov;70;7;400;-1;-1;2;DTS_VL1824
2010;Dec;70;7;400;-1;-1;2;DTS_VL1824
2011;Jan;80;7;400;-1;-1;2;DTS_VL1824
2011;Feb;80;7;400;-1;-1;2;DTS_VL1824
2011;Mar;80;7;400;-1;-1;2;DTS_VL1824
2011;Apr;80;7;400;-1;-1;2;DTS_VL1824
2011;May;80;7;400;-1;-1;2;DTS_VL1824
2011;Jun;80;7;400;-1;-1;2;DTS_VL1824
2011;Jul;80;7;400;-1;-1;2;DTS_VL1824
2011;Aug;80;7;400;-1;-1;2;DTS_VL1824
2011;Set;80;7;400;-1;-1;2;DTS_VL1824
2011;Oct;80;7;400;-1;-1;2;DTS_VL1824
2011;Nov;80;7;400;-1;-1;2;DTS_VL1824
2011;Dec;80;7;400;-1;-1;2;DTS_VL1824
2012;Jan;80;7;400;-1;-1;2;DTS_VL1824
2012;Feb;80;7;400;-1;-1;2;DTS_VL1824
2012;Mar;80;7;400;-1;-1;2;DTS_VL1824
2012;Apr;80;7;400;-1;-1;2;DTS_VL1824
2012;May;80;7;400;-1;-1;2;DTS_VL1824
2012;Jun;80;7;400;-1;-1;2;DTS_VL1824
2012;Jul;80;7;400;-1;-1;2;DTS_VL1824
2012;Aug;80;7;400;-1;-1;2;DTS_VL1824
2012;Set;80;7;400;-1;-1;2;DTS_VL1824
2012;Oct;80;7;400;-1;-1;2;DTS_VL1824
2012;Nov;80;7;400;-1;-1;2;DTS_VL1824
2012;Dec;80;7;400;-1;-1;2;DTS_VL1824
2013;Jan;80;7;400;-1;-1;2;DTS_VL1824
2013;Feb;80;7;400;-1;-1;2;DTS_VL1824
2013;Mar;80;7;400;-1;-1;2;DTS_VL1824
2013;Apr;80;7;400;-1;-1;2;DTS_VL1824
2013;May;80;7;400;-1;-1;2;DTS_VL1824
2013;Jun;80;7;400;-1;-1;2;DTS_VL1824
2013;Jul;80;7;400;-1;-1;2;DTS_VL1824
2013;Aug;80;7;400;-1;-1;2;DTS_VL1824
2013;Set;80;7;400;-1;-1;2;DTS_VL1824
2013;Oct;80;7;400;-1;-1;2;DTS_VL1824
2013;Nov;80;7;400;-1;-1;2;DTS_VL1824
2013;Dec;80;7;400;-1;-1;2;DTS_VL1824
2014;Jan;70;7;400;-1;-1;2;DTS_VL1824
2014;Feb;70;7;400;-1;-1;2;DTS_VL1824
2014;Mar;70;7;400;-1;-1;2;DTS_VL1824
2014;Apr;70;7;400;-1;-1;2;DTS_VL1824
2014;May;70;7;400;-1;-1;2;DTS_VL1824
2014;Jun;70;7;400;-1;-1;2;DTS_VL1824
2014;Jul;70;7;400;-1;-1;2;DTS_VL1824
2014;Aug;70;7;400;-1;-1;2;DTS_VL1824
2014;Set;70;7;400;-1;-1;2;DTS_VL1824
2014;Oct;70;7;400;-1;-1;2;DTS_VL1824
2014;Nov;70;7;400;-1;-1;2;DTS_VL1824
2014;Dec;70;7;400;-1;-1;2;DTS_VL1824
2015;Jan;70;7;400;-1;-1;2;DTS_VL1824
2015;Feb;70;7;400;-1;-1;2;DTS_VL1824
2015;Mar;70;7;400;-1;-1;2;DTS_VL1824
2015;Apr;70;7;400;-1;-1;2;DTS_VL1824
2015;May;70;7;400;-1;-1;2;DTS_VL1824
2015;Jun;70;7;400;-1;-1;2;DTS_VL1824
2015;Jul;70;7;400;-1;-1;2;DTS_VL1824
2015;Aug;70;7;400;-1;-1;2;DTS_VL1824
2015;Set;70;7;400;-1;-1;2;DTS_VL1824
2015;Oct;70;7;400;-1;-1;2;DTS_VL1824
2015;Nov;70;7;400;-1;-1;2;DTS_VL1824
2015;Dec;70;7;400;-1;-1;2;DTS_VL1824
2016;Jan;80;7;400;-1;-1;2;DTS_VL1824
2016;Feb;80;7;400;-1;-1;2;DTS_VL1824
2016;Mar;80;7;400;-1;-1;2;DTS_VL1824
2016;Apr;80;7;400;-1;-1;2;DTS_VL1824
2016;May;80;7;400;-1;-1;2;DTS_VL1824
2016;Jun;80;7;400;-1;-1;2;DTS_VL1824
2016;Jul;80;7;400;-1;-1;2;DTS_VL1824
2016;Aug;80;7;400;-1;-1;2;DTS_VL1824
2016;Set;80;7;400;-1;-1;2;DTS_VL1824
2016;Oct;80;7;400;-1;-1;2;DTS_VL1824
2016;Nov;80;7;400;-1;-1;2;DTS_VL1824
2016;Dec;80;7;400;-1;-1;2;DTS_VL1824
2017;Jan;70;7;400;-1;-1;2;DTS_VL1824
2017;Feb;70;7;400;-1;-1;2;DTS_VL1824
2017;Mar;70;7;400;-1;-1;2;DTS_VL1824
2017;Apr;70;7;400;-1;-1;2;DTS_VL1824
2017;May;70;7;400;-1;-1;2;DTS_VL1824
2017;Jun;70;7;400;-1;-1;2;DTS_VL1824
2017;Jul;70;7;400;-1;-1;2;DTS_VL1824
2017;Aug;70;7;400;-1;-1;2;DTS_VL1824
2017;Set;70;7;400;-1;-1;2;DTS_VL1824
2017;Oct;70;7;400;-1;-1;2;DTS_VL1824
2017;Nov;70;7;400;-1;-1;2;DTS_VL1824
2017;Dec;70;7;400;-1;-1;2;DTS_VL1824
2018;Jan;70;7;400;-1;-1;2;DTS_VL1824
2018;Feb;70;7;400;-1;-1;2;DTS_VL1824
2018;Mar;70;7;400;-1;-1;2;DTS_VL1824
2018;Apr;70;7;400;-1;-1;2;DTS_VL1824
2018;May;70;7;400;-1;-1;2;DTS_VL1824
2018;Jun;70;7;400;-1;-1;2;DTS_VL1824
2018;Jul;70;7;400;-1;-1;2;DTS_VL1824
2018;Aug;70;7;400;-1;-1;2;DTS_VL1824
2018;Set;70;7;400;-1;-1;2;DTS_VL1824
2018;Oct;70;7;400;-1;-1;2;DTS_VL1824
2018;Nov;70;7;400;-1;-1;2;DTS_VL1824
2018;Dec;70;7;400;-1;-1;2;DTS_VL1824
;seed;200;30;150;-1;-1;6;PGP_VL0006
2006;Jan;200;30;150;-1;-1;6;PGP_VL0006
2006;Feb;200;30;150;-1;-1;6;PGP_VL0006
2006;Mar;200;30;150;-1;-1;6;PGP_VL0006
2006;Apr;200;30;150;-1;-1;6;PGP_VL0006
2006;May;200;30;150;-1;-1;6;PGP_VL0006
2006;Jun;200;30;150;-1;-1;6;PGP_VL0006
2006;Jul;200;30;150;-1;-1;6;PGP_VL0006
2006;Aug;200;30;150;-1;-1;6;PGP_VL0006
2006;Set;200;30;150;-1;-1;6;PGP_VL0006
2006;Oct;200;30;150;-1;-1;6;PGP_VL0006
2006;Nov;200;30;150;-1;-1;6;PGP_VL0006
2006;Dec;200;30;150;-1;-1;6;PGP_VL0006
2007;Jan;200;30;150;-1;-1;6;PGP_VL0006
2007;Feb;200;30;150;-1;-1;6;PGP_VL0006
2007;Mar;200;30;150;-1;-1;6;PGP_VL0006
2007;Apr;200;30;150;-1;-1;6;PGP_VL0006
2007;May;200;30;150;-1;-1;6;PGP_VL0006
2007;Jun;200;30;150;-1;-1;6;PGP_VL0006
2007;Jul;200;30;150;-1;-1;6;PGP_VL0006
2007;Aug;200;30;150;-1;-1;6;PGP_VL0006
2007;Set;200;30;150;-1;-1;6;PGP_VL0006
2007;Oct;200;30;150;-1;-1;6;PGP_VL0006
2007;Nov;200;30;150;-1;-1;6;PGP_VL0006
2007;Dec;200;30;150;-1;-1;6;PGP_VL0006
2008;Jan;220;30;150;-1;-1;6;PGP_VL0006
2008;Feb;220;30;150;-1;-1;6;PGP_VL0006
2008;Mar;220;30;150;-1;-1;6;PGP_VL0006
2008;Apr;220;30;150;-1;-1;6;PGP_VL0006
2008;May;220;30;150;-1;-1;6;PGP_VL0006
2008;Jun;220;30;150;-1;-1;6;PGP_VL0006
2008;Jul;220;30;150;-1;-1;6;PGP_VL0006
2008;Aug;220;30;150;-1;-1;6;PGP_VL0006
2008;Set;220;30;150;-1;-1;6;PGP_VL0006
2008;Oct;220;30;150;-1;-1;6;PGP_VL0006
2008;Nov;220;30;150;-1;-1;6;PGP_VL0006
2008;Dec;220;30;150;-1;-1;6;PGP_VL0006
2009;Jan;200;30;150;-1;-1;6;PGP_VL0006
2009;Feb;200;30;150;-1;-1;6;PGP_VL0006
2009;Mar;200;30;150;-1;-1;6;PGP_VL0006
2009;Apr;200;30;150;-1;-1;6;PGP_VL0006
2009;May;200;30;150;-1;-1;6;PGP_VL0006
2009;Jun;200;30;150;-1;-1;6;PGP_VL0006
2009;Jul;200;30;150;-1;-1;6;PGP_VL0006
2009;Aug;200;30;150;-1;-1;6;PGP_VL0006
2009;Set;200;30;150;-1;-1;6;PGP_VL0006
2009;Oct;200;30;150;-1;-1;6;PGP_VL0006
2009;Nov;200;30;150;-1;-1;6;PGP_VL0006
2009;Dec;200;30;150;-1;-1;6;PGP_VL0006
2010;Jan;200;30;150;-1;-1;6;PGP_VL0006
2010;Feb;200;30;150;-1;-1;6;PGP_VL0006
2010;Mar;200;30;150;-1;-1;6;PGP_VL0006
2010;Apr;200;30;150;-1;-1;6;PGP_VL0006
2010;May;200;30;150;-1;-1;6;PGP_VL0006
2010;Jun;200;30;150;-1;-1;6;PGP_VL0006
