FS;Year;Month;GT;Unit;Source;;;;;;
EmiliaRomagna_TBB;2015;0;796;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2016;0;796;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2017;0;796;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TBB;2018;0;838;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2005;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;10
EmiliaRomagna_TM;2005;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2012;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2013;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2014;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2015;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2016;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2016;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2016;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_TM;2018;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2017;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2017;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVenezia Giulia_DRB;2018;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2005;0;467;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2006;0;583;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2007;0;530;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2008;0;530;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2009;0;517;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2010;0;537;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2011;0;501;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2012;0;376;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2013;0;359;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2014;0;385;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2015;0;329;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2016;0;335;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2017;0;377;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_DTS;2018;0;342;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2005;0;576;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2006;0;579;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2007;0;552;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2008;0;552;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2009;0;545;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2010;0;555;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2011;0;545;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2012;0;535;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2013;0;553;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2014;0;533;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2015;0;521;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2016;0;514;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2017;0;504;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PGP;2018;0;538;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
FriuliVeneziaGiulia_PS;2015;4;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2015;6;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2015;9;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2017;6;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2018;1;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2018;11;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2018;12;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2018;2;NA;TotalGT;;;;;;;
FriuliVeneziaGiulia_PS;2018;3;NA;TotalGT;;;;;;;
