FS;Year;Month;Land;Unit;Source
Abruzzo_PGP;2012;11;2.46091;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2012;12;3.23917;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;1;0.33712;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;2;0.37497;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;3;1.05883;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;4;0.31434;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;5;0.74367;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;6;0.26494;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;7;1.84499;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;8;0.77863;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;9;3.43114;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;10;1.2606;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;11;3.12441;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2013;12;4.09535;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;1;0.21628;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;2;0.27039;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;3;0.61868;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;4;0.82412;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;5;2.68325;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;6;2.24233;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;7;2.54728;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;8;8.51653;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;9;5.45023;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;10;8.30863;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;11;3.34774;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2014;12;2.90819;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;1;0.29543;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;3;0.14581;tons;File MBL2 SOL.xlsx
Abruzzo_PGP;2015;4;1.18386;tons;File MBL2 SOL.xlsx
